smiles,score
CCc1nc(N[C@H]2CC[C@@H](C(=O)NCc3cccc(OC)c3OC)CC2)ncc1C,-8.1
COc1cc2c(cc1C[NH2+]C1CSCCSC1)OCCO2,-6.2
CC(C)(C)NC(=O)CN1CC(c2ccccc2)(c2ccccc2)CCC1=O,-7.9
CCCCN1C(=O)CN(Cc2cccc(F)c2)C(=O)[C@@H]1C,-6.8
COCCNC(=O)c1ccc(O[C@H]2CC[N@H+](CC3CCCCC3)CC2)c(Cl)c1,-7.2
O=C(c1ccccc1N1CCOCC1)N(Cc1ccc(F)cc1)C1CCCCC1,-8.0
O=C(NCC1(Cn2ccnc2)CC1)c1ccccc1OC(F)F,-6.9
OC[C@@H]1CCCC[N@H+]1CCNc1ncc(Cl)cn1,-5.7
COCCOCC(=O)N1CC[C@H](Cc2cncc(C(=O)[O-])c2)C1,-5.9
CCCc1cc(C(=O)N2CCC[N@H+](C3Cc4ccccc4C3)CC2)no1,-8.1
COCCN(Cc1c(C)nn(C)c1C)C(=O)c1cccc(-c2nccs2)c1,-7.0
Cc1oc(-c2ccccc2)nc1CC(=O)N1CCO[C@H]2C[C@H](CO)C[C@@H]21,-8.1
CCCn1nc(C)c(CNC(=O)c2cccc(CCC(C)(C)O)c2)c1C,-7.4
CN(C)C(=O)c1cccc(N2CCC[C@@]3(CCc4c3nc(N(C)C)[nH]c4=O)C2)n1,-8.4
CS(=O)(=O)NCCNC(=O)c1cnc(Nc2ccccc2)nc1,-6.8
Nc1nc2c(c(C(=O)N3CC[C@H]4[C@H](C3)OCc3cnnn34)n1)CCCC2,-8.7
CCCNc1nc(C2(c3ccccc3)CCN(C(=O)[C@@H]3C[N@@H+](C)CCO3)CC2)cs1,-8.0
O=C(Cc1nc2cc(Cl)ccc2[nH]1)N1CC(Oc2ccc(F)cc2)C1,-7.6
Cc1ccc(S[C@H](C)C(=O)NCc2nc3ccccc3c(=O)[nH]2)cc1,-7.5
CCOCCC(=O)Nc1ccccc1SCC,-5.3
NS(=O)(=O)N1CC[NH+](Cc2cccc(C(F)(F)F)c2)CC1,-7.2
CCCc1cc(CN(C)C(=O)[C@H]2OCC(=O)N[C@@H]2c2ccccc2)n[nH]1,-6.4
CC[NH+](CC)CCN(C)C(=O)[C@H]1CCCC[C@H]1C(=O)NC(C)(C)C,-5.8
Cc1cccc([C@@H]2c3[nH]c4ccccc4c3CCN2C(=O)c2cccc(F)c2F)n1,-10.3
CCOC(=O)c1ccc(-c2ccc(C(=O)NC[C@@]3(O)CC[NH2+]C3)cc2)cc1,-8.0
Cc1cc2[nH]cc(C(=O)N3CCO[C@@H](C[NH+](C)C)[C@@H]3c3ccccc3)c(=O)n2n1,-8.5
O=C(NC1CCCC1)c1cn(Cc2ccc(F)cc2)nn1,-6.8
CCCCn1ccnc1[C@H]1CCCN(C(=O)c2cc3ncccn3n2)C1,-7.2
Cc1ccc(C[N@H+]2CC[C@@H](C(=O)[O-])C2)c2cccnc12,-7.4
O=C(Nc1ccc(F)c(Cl)c1)N1C[C@H]2C[NH2+]C[C@@]2(CCc2ccccc2)C1,-8.2
C=C[C@H]1CCN(C(=O)NCc2ccc(C(=O)[O-])o2)C1,-6.4
O=C(Nc1ccc(N2CCCC2=O)cc1)N1CCOC[C@H](O)C1,-7.1
O=C(c1ccon1)N1CC(Oc2ccccc2F)C1,-6.8
CC(C)[C@@H]1C(=O)NCCN1C(=O)c1ccc(-c2cncn2C)cc1,-7.0
O=C(N[C@@H]1CCN(C(=O)c2ccc(CO)cc2)C[C@H]1O)c1cccnc1,-7.2
COc1ccccc1OCC(=O)N1C[C@@H](C)[C@](O)(C2CC2)C1,-6.7
O=C1CCCN1c1ccc2c(C3CC3)cc(-c3ncc[nH]3)nc2c1,-8.1
COc1ccc(-n2ccc(-c3sc(NCc4c(C)nn(C)c4Cl)nc3C)n2)cc1,-8.0
CC(C)Cc1cc(C(=O)N2CCC3(CC2)c2nc[nH]c2CC[N@@H+]3C)n(C)n1,-8.3
CC(=O)c1cc(C[N@H+]2CCC[C@]3(CCC[C@H]3O)C2)cs1,-6.7
COC[C@@]12CC[C@@H]([NH+]3CCOCC3)C[C@H]1CCN(c1ccncc1F)C2,-6.9
O=C(NCc1nnc2n1CCCC2)c1ccc(C[NH+]2CCCCC2)cc1,-8.1
CCn1ccnc1C[N@@H+](C)Cc1cn(-c2ccccc2C)nc1-c1ccc(OC)c(F)c1,-7.9
Cc1cc(C(=O)N[C@@H]2COCC[C@@H]2Oc2ccc(F)cc2)c(C)o1,-7.6
CN(C)c1ncc2c(n1)CCC[C@@H]2NC(=O)CCCN1CCCC1=O,-7.1
COc1cccc(OC[C@H](O)CNc2ncc(C)c(N(C)C)n2)c1,-6.3
CC(=O)c1cc(CC(=O)N[C@H]2CCCCNC2=O)cs1,-6.6
C[C@@H](C(=O)NCCc1c[nH]cn1)N1C(=O)c2cccc3cccc1c23,-8.2
O=C(CCN1C(=O)c2ccccc2S1(=O)=O)N1CCC[C@@]2(CCC[C@H]2O)C1,-8.5
CCc1c(C)nn(CC(=O)Nc2ccc(OC)c3nonc23)c1C,-7.6
C[C@@H]1CCC[N@H+](CCOc2ccccc2C[N@@H+](C)Cc2nncn2C)C1,-6.7
Cc1nc(N2C[C@@H]3[C@H](CNC(=O)COc4ccc(F)cc4)[C@H]4CC[C@]3(C2)O4)no1,-8.5
Nc1nc2c(c(=O)[nH]1)CCN(C(=O)Cn1c(C3CC3)nc3ccccc31)C2,-8.1
COc1ccc(CCC(=O)N2CC(=O)N(Cc3cnn(C)c3)C[C@H](OCc3ccncc3)C2)cc1,-7.8
